movieCd,moviePartNm,peopleCd
20209926,배우,20374002
20193666,VFX 아티스트,20343371
20181685,VFX 아티스트,20343371
20197922,VFX 아티스트,20343371
20192206,VFX 아티스트,20343371
20184243,VFX 아티스트,20343371
20183782,VFX 아티스트,20343371
20188421,VFX 아티스트,20343371
20183096,VFX 아티스트,20343371
20197922,VFX 아티스트,20180088
20180939,VFX 아티스트,20180088
20180939,VFX 아티스트,20180088
20184571,VFX 아티스트,20180088
20180962,VFX 아티스트,20180088
20151003,VFX 아티스트,20180088
20164844,VFX 아티스트,20180088
20162722,VFX 아티스트,20180088
20144444,VFX 아티스트,20180088
20153444,VFX 아티스트,20180088
20145171,VFX 아티스트,20180088
20112019,타이틀,20180088
20205378,DI팀,20124878
20182326,DI팀,20124878
20150753,DI팀,20124878
20120111,DI팀,20124878
20165723,DI팀,20124878
20166127,DI팀,20124878
20150970,DI팀,20124878
20150972,DI팀,20124878
20162461,DI팀,20124878
20170941,DI팀,20124878
20161961,DI팀,20124878
20143509,DI팀,20124878
20151021,DI팀,20124878
20152370,DI팀,20124878
20156807,DI팀,20124878
20157464,DI팀,20124878
20149264,DI팀,20124878
20156557,DI팀,20124878
20143510,DI팀,20124878
20143513,DI팀,20124878
20134798,DI팀,20124878
20157431,DI팀,20124878
20136063,DI팀,20124878
20153316,DI팀,20124878
20147130,DI팀,20124878
20149299,DI팀,20124878
20141610,DI팀,20124878
20156352,DI팀,20124878
20148855,DI팀,20124878
20133682,DI팀,20124878
20133681,DI팀,20124878
20149312,DI팀,20124878
20133803,DI팀,20124878
20143753,DI팀,20124878
20136888,DI팀,20124878
20131262,DI팀,20124878
20143666,DI팀,20124878
20132796,DI팀,20124878
20130573,DI팀,20124878
20149514,DI팀,20124878
20141609,DI팀,20124878
20148842,DI팀,20124878
20147930,DI팀,20124878
20148927,DI팀,20124878
20149667,DI팀,20124878
20149458,DI팀,20124878
20136064,DI팀,20124878
20147931,DI팀,20124878
20134591,DI팀,20124878
20148668,DI팀,20124878
20134586,DI팀,20124878
20130785,DI팀,20124878
20135264,DI팀,20124878
20136312,DI팀,20124878
20139964,DI팀,20124878
20147432,DI팀,20124878
20149441,DI팀,20124878
20149962,DI팀,20124878
20136062,DI팀,20124878
20132800,DI팀,20124878
20130483,DI팀,20124878
20119982,DI팀,20124878
20124938,DI팀,20124878
20134803,DI팀,20124878
20134233,DI팀,20124878
20131109,DI팀,20124878
