movieCd,genreAlt
20218755,드라마
20218755,공포(호러)
20218755,미스터리
20191202,액션
20191202,스릴러
20218754,성인물(에로)
20218769,성인물(에로)
20198161,스릴러
20218240,미스터리
20218240,공포(호러)
20168707,드라마
20168708,드라마
20202185,미스터리
20202185,스릴러
20218628,멜로/로맨스
20189326,다큐멘터리
20218244,공포(호러)
20218244,스릴러
20218768,멜로/로맨스
20218767,드라마
20218767,코미디
20218753,멜로/로맨스
20218753,드라마
20218752,드라마
20204606,드라마
20204606,판타지
20030067,드라마
20030067,멜로/로맨스
20218751,미스터리
20218751,어드벤처
20218751,코미디
20218647,액션
20218647,코미디
20218766,액션
20218750,드라마
20218750,성인물(에로)
20218749,드라마
20218749,성인물(에로)
20196270,드라마
20196270,기타
20218765,성인물(에로)
20218765,드라마
20194915,다큐멘터리
20218764,애니메이션
20218764,뮤지컬
20218764,어드벤처
20218194,기타
20217688,사극
20217688,드라마
20070262,공포(호러)
20070262,미스터리
20070262,스릴러
20217950,액션
20217950,코미디
20217950,범죄
20218748,멜로/로맨스
20192696,드라마
20192696,스릴러
20209515,드라마
20209515,멜로/로맨스
20209515,코미디
20218246,코미디
20218246,드라마
20218246,멜로/로맨스
20218747,멜로/로맨스
20218122,범죄
20218122,드라마
20218598,성인물(에로)
20218652,뮤지컬
20218151,판타지
20218151,액션
20218209,애니메이션
20218499,애니메이션
20218740,드라마
20218745,성인물(에로)
20218746,멜로/로맨스
20218739,멜로/로맨스
20218738,멜로/로맨스
20135545,드라마
20217121,드라마
20142405,공포(호러)
20201464,드라마
20217364,코미디
20218391,애니메이션
20218391,코미디
20218391,어드벤처
20218121,판타지
20218121,코미디
20088404,범죄
20088404,스릴러
20218670,SF
20218670,액션
20218338,공포(호러)
20218338,미스터리
20218393,범죄
20218393,드라마
20218302,코미디
20218302,드라마
20209206,애니메이션
20218195,드라마
20218744,드라마
20218744,성인물(에로)
20218727,뮤지컬
20218727,멜로/로맨스
20196348,드라마
20194584,드라마
20218723,성인물(에로)
20217198,기타
20185286,드라마
20185286,멜로/로맨스
20080269,드라마
20080269,멜로/로맨스
20190084,드라마
20071054,드라마
20217731,드라마
20218737,성인물(에로)
20205965,드라마
20218736,성인물(에로)
20218722,성인물(에로)
20217197,기타
20217491,공포(호러)
20218057,어드벤처
20218057,드라마
20218057,SF
20218325,애니메이션
20218325,액션
20218325,어드벤처
20218325,범죄
20218325,미스터리
20218325,스릴러
20215161,기타
20217676,드라마
19530015,드라마
19530015,스릴러
20201786,코미디
20201786,액션
20207587,다큐멘터리
19910355,가족
19910355,스릴러
19910355,어드벤처
19910355,코미디
20218661,드라마
20218661,멜로/로맨스
20217495,다큐멘터리
20216241,기타
20202537,코미디
20202537,액션
20217172,애니메이션
20217708,드라마
20205155,애니메이션
20218735,성인물(에로)
20218734,성인물(에로)
20218481,애니메이션
20216050,코미디
20216050,판타지
20216050,미스터리
20218252,애니메이션
20218252,액션
20216581,드라마
20216581,멜로/로맨스
20217490,애니메이션
20217490,어드벤처
20217490,코미디
20218475,드라마
20217167,드라마
20217167,가족
20217167,전쟁
20217167,기타
20218685,다큐멘터리
20080910,스릴러
20080910,멜로/로맨스
20207568,다큐멘터리
20218729,공연
20182782,드라마
20218364,공포(호러)
20218364,스릴러
20218364,드라마
20218476,공포(호러)
20218476,코미디
20209146,멜로/로맨스
20209146,드라마
20217218,드라마
20217892,기타
20190469,드라마
20192601,가족
20192601,미스터리
20192601,드라마
20185269,다큐멘터리
20218016,코미디
20218016,스릴러
20218016,미스터리
20218016,공포(호러)
20217103,드라마
20218721,드라마
20218721,성인물(에로)
20218733,드라마
20218733,성인물(에로)
20191962,미스터리
20191962,스릴러
20201875,드라마
20218720,멜로/로맨스
20218719,드라마
20218719,성인물(에로)
20218732,드라마
20218732,성인물(에로)
20218718,드라마
20218718,성인물(에로)
20218731,드라마
20218731,성인물(에로)
20218717,드라마
20218717,성인물(에로)
20218716,멜로/로맨스
20218708,드라마
20218730,드라마
20218715,드라마
20218728,드라마
20218714,드라마
20218713,드라마
20218324,드라마
20218324,코미디
20218324,멜로/로맨스
20218712,드라마
20218711,드라마
20218710,드라마
20193874,드라마
20193874,멜로/로맨스
20218726,드라마
20218725,드라마
20218709,드라마
20218412,드라마
20218431,스릴러
20218385,코미디
20218385,드라마
20209945,드라마
20218724,액션
20218724,미스터리
20218600,액션
20218600,스릴러
20218333,멜로/로맨스
20218354,멜로/로맨스
20218354,드라마
20218420,애니메이션
20217930,스릴러
20218067,드라마
20202686,드라마
20166194,판타지
20218083,성인물(에로)
20217513,성인물(에로)
20218707,스릴러
20218707,드라마
20218690,액션
20218690,드라마
20218706,범죄
20218706,스릴러
20218705,공포(호러)
20218704,드라마
20218704,멜로/로맨스
20218704,SF
20217947,드라마
20217947,판타지
20218022,다큐멘터리
20218689,스릴러
20218688,스릴러
20198823,스릴러
20198823,미스터리
20198823,드라마
20218663,멜로/로맨스
20218662,멜로/로맨스
20218687,멜로/로맨스
20218686,멜로/로맨스
20205721,드라마
20209926,드라마
20208101,드라마
20208101,코미디
20218660,드라마
20218196,드라마
20170610,다큐멘터리
20217005,드라마
20218579,기타
20218684,멜로/로맨스
20218684,드라마
20218683,멜로/로맨스
20218683,드라마
20218462,공포(호러)
20218462,미스터리
20218462,스릴러
20191951,액션
20191951,어드벤처
20191951,SF
20200430,기타
19940047,멜로/로맨스
19940047,미스터리
19890010,멜로/로맨스
20182466,멜로/로맨스
20182466,코미디
20194185,멜로/로맨스
20194185,코미디
20159482,드라마
20218578,멜로/로맨스
20218578,드라마
20218602,드라마
20218602,성인물(에로)
20217507,드라마
20217507,공포(호러)
20217507,SF
20215581,액션
20215581,스릴러
20218624,드라마
20218624,성인물(에로)
20218415,드라마
20218671,다큐멘터리
20218671,뮤지컬
