peopleCd,peopleNm,sex,repRoleNm
20374002,박종건,남자,배우
20343371,정예슬,,VFX 아티스트
20180088,김다은,여자,VFX 아티스트
20124878,송보경,여자,DI팀
10000063,장뢰,남자,감독
20365243,이예영,여자,배우
20318773,유재선,남자,감독
20376195,송승은,여자,의상팀
20370942,안민재,,기타
10026501,모홍진,남자,감독
20374452,김라온,남자,배우
20373397,홍주환,남자,조감독
20366896,박서진,여자,배우
20297718,인구성,남자,광고디자인
20370411,이상춘,남자,감독
20368922,윤동하,남자,배우
20375613,전민경,,음악진행
20374901,박이슬,,미술팀
20369630,이언호,,제작
10065499,칩 구베라,남자,감독
20368888,박희진,남자,연출팀
20308289,감수성,남자,감독
20370041,장우영,남자,배우
20347332,이세영,남자,감독
20342130,정상화,,예고편
20153416,조현준,남자,감독
20375243,김을규,남자,배우
20356523,김나윤,여자,배우
20360942,우현서,여자,배우
20366195,전경찬,남자,배우
20375756,고찬성,남자,타이틀
20372093,힘의길,남자,배우
20369775,이제연,여자,제작팀
20132410,조아영,여자,DI팀
20281789,라야,여자,감독
20337525,한예은,,감독
10065476,조나단 헨스라이,남자,감독
20298052,강강주,,VFX 아티스트
20307469,박예나,여자,감독
10060674,장훈,남자,감독
20188904,윤다희,여자,감독
20189616,강호준,남자,감독
20181226,이승희,남자,포스터사진
20370554,조수현,여자,배우
20277409,문재웅,남자,감독
20135785,이윤형,남자,감독
20375306,박진희,여자,분장팀
10001737,고인배,남자,배우
10022057,다니엘 그로브,남자,감독
20374147,김정호,남자,감독
20212509,오동하,남자,감독
10005774,김준성,남자,음악
20367291,김명주,여자,배우
20362093,윤민,남자,배우
20374517,김윤성,,조명팀
20365306,박승연,여자,배우
20143553,전혜숙,여자,온라인마케팅
10040368,신민,남자,음악
20373728,차현준,남자,VFX 아티스트
20371715,양수빈,여자,스크립터
20370807,신은미,,음악진행
20186760,정유림,여자,배우
20154445,최석원,남자,VFX 아티스트
20156478,이성준,남자,사운드
20366603,이솔,여자,분장팀
